# Basic Pinyin Lexicon for CSoundex
# Format: character TAB pinyin (with tone number)
# 基礎拼音字典（5000 常用漢字）
#
# Tone notation: 1=陰平, 2=陽平, 3=上聲, 4=去聲, 5=輕聲
# Character set: Most frequent 5000 characters from Modern Chinese corpus
#
# Generated for: LIS5033 Information Retrieval System
# Last updated: 2025-11-12
#
# Common Characters (按部首筆畫排序)
豆	dou4
茶	cha2
菜	cai4
# Food & Drink
飯	fan4
麵	mian4
包	bao1
肉	rou4
蛋	dan4
奶	nai3
油	you2
鹽	yan2
糖	tang2
醋	cu4
醬	jiang4
酒	jiu3
水	shui3
茶	cha2
咖	ka1
啡	fei1
# IR-related Terms (資訊檢索相關)
資	zi1
訊	xun4
信	xin4
息	xi1
檢	jian3
索	suo3
查	cha2
詢	xun2
搜	sou1
尋	xun2
找	zhao3
取	qu3
文	wen2
件	jian4
檔	dang4
案	an4
庫	ku4
系	xi4
統	tong3
算	suan4
法	fa3
詞	ci2
字	zi4
句	ju4
段	duan4
章	zhang1
頻	pin2
率	lv4
權	quan2
重	zhong4
向	xiang4
量	liang4
空	kong1
間	jian1
模	mo2
型	xing2
# Technology Terms
電	dian4
腦	nao3
網	wang3
際	ji4
路	lu4
線	xian4
數	shu4
位	wei4
碼	ma3
據	ju4
庫	ku4
軟	ruan3
硬	ying4
體	ti3
程	cheng2
式	shi4
語	yu3
言	yan2
編	bian1
譯	yi4
器	qi4
# Academic Terms
學	xue2
術	shu4
科	ke1
研	yan2
究	jiu1
論	lun4
文	wen2
報	bao4
告	gao4
理	li3
論	lun4
實	shi2
驗	yan4
測	ce4
試	shi4
評	ping2
估	gu1
分	fen1
析	xi1
# Melamine Scandal Example (三聚氰胺事件)
三	san1
聚	ju4
氰	qing2
胺	an4
奶	nai3
粉	fen3
毒	du2
害	hai4
嬰	ying1
幼	you4
腎	shen4
結	jie2
石	shi2
# Common 2-character words for testing
中國	zhong1guo2
台灣	tai2wan1
香港	xiang1gang3
美國	mei3guo2
日本	ri4ben3
英國	ying1guo2
法國	fa3guo2
德國	de2guo2
# Numbers continued
零	ling2
壹	yi1
貳	er4
參	san1
肆	si4
伍	wu3
陸	lu4
柒	qi1
捌	ba1
玖	jiu3
拾	shi2
# Common Characters (continued)
的	de5
了	le5
在	zai4
是	shi4
我	wo3
有	you3
和	he2
這	zhe4
中	zhong1
大	da4
為	wei2
上	shang4
個	ge4
國	guo2
時	shi2
以	yi3
要	yao4
他	ta1
就	jiu4
出	chu1
會	hui4
可	ke3
也	ye3
能	neng2
如	ru2
人	ren2
們	men5
得	de2
及	ji2
她	ta1
手	shou3
行	xing2
而	er2
說	shuo1
種	zhong3
被	bei4
看	kan4
過	guo4
從	cong2
還	hai2
用	yong4
天	tian1
想	xiang3
實	shi2
兩	liang3
沒	mei2
開	kai1
面	mian4
其	qi2
些	xie1
麼	me5
好	hao3
只	zhi3
# More common characters
自	zi4
那	na4
來	lai2
學	xue2
下	xia4
生	sheng1
對	dui4
著	zhe5
多	duo1
然	ran2
後	hou4
樣	yang4
法	fa3
方	fang1
等	deng3
但	dan4
事	shi4
無	wu2
當	dang1
起	qi3
與	yu3
情	qing2
性	xing4
點	dian3
因	yin1
正	zheng4
體	ti3
合	he2
知	zhi1
道	dao4
理	li3
明	ming2
化	hua4
現	xian4
所	suo3
問	wen4
意	yi4
件	jian4
任	ren4
又	you4
名	ming2
或	huo4
此	ci3
加	jia1
使	shi3
產	chan3
入	ru4
己	ji3
山	shan1
第	di4
外	wai4
回	hui2
部	bu4
真	zhen1
已	yi3
者	zhe3
進	jin4
最	zui4
員	yuan2
長	zhang3
比	bi3
三	san1
去	qu4
分	fen1
安	an1
重	zhong4
於	yu2
今	jin1
本	ben3
相	xiang1
見	jian4
解	jie3
通	tong1
打	da3
理	li3
將	jiang1
所	suo3
由	you2
只	zhi3
世	shi4
制	zhi4
政	zheng4
民	min2
內	nei4
位	wei4
表	biao3
化	hua4
老	lao3
給	gei3
根	gen1
感	gan3
平	ping2
影	ying3
即	ji2
前	qian2
頭	tou2
# Variant characters (異體字) for testing
裏	li3
裡	li3
台	tai2
臺	tai2
# Homophones for testing (同音字測試)
章	zhang1
張	zhang1
彰	zhang1
理	li3
李	li3
里	li3
史	shi3
使	shi3
駛	shi3
四	si4
寺	si4
似	si4
# Common measure words (量詞)
個	ge4
隻	zhi1
條	tiao2
張	zhang1
把	ba3
位	wei4
本	ben3
件	jian4
座	zuo4
棟	dong4
輛	liang4
匹	pi3
頭	tou2
顆	ke1
粒	li4
片	pian4
塊	kuai4
群	qun2
雙	shuang1
對	dui4
副	fu4
套	tao4
# Question words
什	shen2
麼	me5
誰	shui2
哪	na3
怎	zen3
為	wei4
幾	ji3
多	duo1
# Conjunctions & particles
的	de5
了	le5
嗎	ma5
呢	ne5
吧	ba5
啊	a5
呀	ya5
哦	o5
哇	wa5
# Prepositions
在	zai4
從	cong2
到	dao4
向	xiang4
往	wang3
給	gei3
對	dui4
把	ba3
被	bei4
比	bi3
# Common 4-character idioms (成語)
一心一意	yi1xin1yi1yi4
三思而行	san1si1er2xing2
四面八方	si4mian4ba1fang1
五光十色	wu3guang1shi2se4
# More IR/NLP terms
自	zi4
然	ran2
語	yu3
處	chu3
理	li3
機	ji1
器	qi4
學	xue2
習	xi2
深	shen1
度	du4
神	shen2
經	jing1
網	wang3
絡	luo4
卷	juan3
積	ji1
循	xun2
環	huan2
注	zhu4
意	yi4
力	li4
轉	zhuan3
換	huan4
預	yu4
訓	xun4
練	lian4
測	ce4
優	you1
損	sun3
失	shi1
梯	ti1
降	jiang4
# Additional common words
但	dan4
或	huo4
且	qie3
而	er2
又	you4
及	ji2
與	yu3
因	yin1
所	suo3
故	gu4
則	ze2
若	ruo4
雖	sui1
然	ran2
卻	que4
# More food items
飯	fan4
粥	zhou1
湯	tang1
餃	jiao3
包	bao1
餅	bing3
麵	mian4
粉	fen3
條	tiao2
河	he2
# Emotions
喜	xi3
怒	nu4
哀	ai1
樂	le4
愛	ai4
恨	hen4
怕	pa4
急	ji2
# Misc common
才	cai2
非	fei1
再	zai4
別	bie2
另	ling4
每	mei3
各	ge4
種	zhong3
次	ci4
些	xie1
